IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
000074-01012019,01 Jan 2019,2019,00:15:23,0,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,TW8 9PS,TW8,1.00022E+11,21500275,E09000018,HOUNSLOW,Hounslow,E05013608,Brentford West,Brentford West,517751,178330,517750,178350,51.49166883,-0.305278903,London,Ealing,362,Chiswick,,,1,1,1,1,333,1
000175-01012019,01 Jan 2019,2019,01:04:04,1,Fire,Secondary Fire,,Outdoor Structure,Wheelie bin (domestic size),Nearby address - no building in street,TW5 9PP,TW5,2.00004E+11,21590176,E09000018,HOUNSLOW,Hounslow,E05013612,Cranford,Cranford,510847,177505,510850,177550,51.48564438,-0.40493933,London,Feltham,460,Feltham,,,1,1,1,1,333,1
000202-01012019,01 Jan 2019,2019,01:15:34,1,Fire,Secondary Fire,,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,TW7 5XF,TW7,1.00023E+11,21500707,E09000018,HOUNSLOW,Hounslow,E05013627,Syon & Brentford Lock,Syon & Brentford Lock,516231,176656,516250,176650,51.4769403,-0.327708246,London,Heston,209,Heston,,,1,1,1,1,333,1
000345-01012019,01 Jan 2019,2019,06:02:31,6,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W4,0,21500392,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,520750,177950,,,London,Chiswick,212,Chiswick,430,Acton,2,2,2,1,333,1
000350-01012019,01 Jan 2019,2019,06:12:59,6,Fire,Primary Fire,,Road Vehicle,Minibus ,In street outside gazetteer location,TW13 5JW,TW13,10014074581,21500632,E09000018,HOUNSLOW,Hounslow,E05013616,Hanworth Village,Hanworth Village,512228,172811,512250,172850,51.443186,-0.386552821,London,Feltham,113,Twickenham,,,1,1,1,1,333,2
000387-01012019,01 Jan 2019,2019,08:33:06,8,Special Service,Special Service,Effecting entry/exit,Outdoor,Road surface/pavement ,On land associated with building,TW3 1SE,TW3,10093766319,21519758,E09000018,HOUNSLOW,Hounslow,E05013621,Hounslow East,Hounslow East,514557,175905,514550,175950,51.47052801,-0.352052394,London,Heston,218,Heston,,,1,1,1,1,333,1
000437-01012019,01 Jan 2019,2019,12:55:26,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W4,0,21500454,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,520950,178550,,,London,Chiswick,169,Chiswick,333,Acton,4,4,4,1,333,1
000563-01012019,01 Jan 2019,2019,17:27:27,17,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W4,0,21501177,E09000018,HOUNSLOW,Hounslow,E05013611,Chiswick Riverside,Chiswick Riverside,,,519450,178250,,,London,Chiswick,209,Chiswick,351,Acton,2,2,2,1,333,1
000728-02012019,02 Jan 2019,2019,05:53:14,5,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Within same building,TW3 1QL,TW3,1.00023E+11,21500610,E09000018,HOUNSLOW,Hounslow,E05013620,Hounslow Central,Hounslow Central,514061,175757,514050,175750,51.46929978,-0.359240096,London,Heston,208,Heston,225,Heston,1,2,2,2,666,1
000753-02012019,02 Jan 2019,2019,08:43:20,8,False Alarm,AFA,,Non Residential,Bus/coach station/garage ,Correct incident location,W4 1SY,W4,10093258412,21502481,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,521573,178674,521550,178650,51.49395038,-0.250132929,London,Chiswick,178,Chiswick,,,1,1,1,1,333,1
000787-02012019,02 Jan 2019,2019,10:48:29,10,False Alarm,AFA,,Other Residential,Nursing/Care Home/Hospice,Correct incident location,TW5 0EE,TW5,10093257097,21501151,E09000018,HOUNSLOW,Hounslow,E05013619,Heston West,Heston West,512464,177325,512450,177350,51.4837087,-0.3817117,London,Feltham,343,Feltham,539,Heathrow,3,3,3,1,333,2
